,zpid,price,priceLabel,beds,baths,area,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,shouldShowZestimateAsPrice,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,availabilityDate,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,variableData.data.isFresh,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.isShowcaseListing,buildingId,lotId,minBeds,minBaths,minArea,plid,unitCount,isBuilding,badgeInfo,canSaveBuilding,streetViewMetadataURL,streetViewURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.priceReduction,hdpData.homeInfo.videoCount,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit
10,17029090,"$4,190/mo",$4.2K,4,2,1890,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/652ce417df88aa519371004f3bb863b3-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/5590-Rab-St-La-Mesa-CA-91942/17029090_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"5590 Rab St, La Mesa, CA 91942",FALSE,FALSE,FALSE,,53391071,32.78029,-117.02076,TIME_ON_INFO,14 hours ago,TRUE,17029090,5590 Rab St,91942,La Mesa,CA,32.78029,-117.02076,4190,2,4,1890,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,891500,4194,FALSE,FALSE,FOR_RENT,4190,TRUE,FALSE,FALSE,USD,USA,491509,FALSE,,,,,,,,,,,,,,,,,,,
11,81772917,"$5,995/mo",$6.0K,4,3,2376,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/f42895b5397bb77078677d210924f38b-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/13519-Blue-Lace-Trl-San-Diego-CA-92130/81772917_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"13519 Blue Lace Trl, San Diego, CA 92130",FALSE,TRUE,FALSE,,61988562,32.96559,-117.18793,TIME_ON_INFO,17 hours ago,TRUE,81772917,13519 Blue Lace Trl,92130,San Diego,CA,32.96559,-117.18793,5995,3,4,2376,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,1786100,5800,FALSE,FALSE,FOR_RENT,5995,TRUE,FALSE,FALSE,USD,USA,866294,FALSE,,,,,,,,,,,,,,,,,,,
12,16981027,"$6,000/mo",$6.0K,4,3,2273,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/2ba4706e167e8ac1437ddfe2574b079a-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/5924-Quiet-Slope-Dr-San-Diego-CA-92120/16981027_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"5924 Quiet Slope Dr, San Diego, CA 92120",FALSE,FALSE,FALSE,9/1/2023 0:00,63276475,32.803493,-117.06546,TIME_ON_INFO,17 hours ago,TRUE,16981027,5924 Quiet Slope Dr,92120,San Diego,CA,32.803493,-117.06546,6000,3,4,2273,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,1377400,4950,FALSE,FALSE,FOR_RENT,6000,TRUE,FALSE,FALSE,USD,USA,847787,FALSE,,,,,,,,,,,,,,,,,,,
13,2057490843,"$5,300/mo",$5.3K,4,3.5,2032,FOR_RENT,Townhouse for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/d12ca00b714d7fd8b325be669e12de0b-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/6012-E-Village-Center-Loop-Rd-UNIT-38-San-Diego-CA-92130/2057490843_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"6012 E Village Center Loop Rd UNIT 38, San Diego, CA 92130",FALSE,FALSE,FALSE,,99821563,32.9606,-117.1877,TIME_ON_INFO,1 day ago,FALSE,2057490843,6012 E Village Center Loop Rd UNIT 38,92130,San Diego,CA,32.9606,-117.1877,5300,3.5,4,2032,TOWNHOUSE,FOR_RENT,-1,FALSE,FALSE,FALSE,1533200,5496,FALSE,FALSE,FOR_RENT,5300,TRUE,FALSE,FALSE,USD,USA,,FALSE,,,,,,,,,,,,,1.68612E+12,300,Unit 38,,,,
14,16887137,"$3,950/mo",$4.0K,4,3,2200,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/5691e239b65a00290cdac19122a26e0b-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/8727-Granite-House-Ln-Santee-CA-92071/16887137_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"8727 Granite House Ln, Santee, CA 92071",FALSE,FALSE,FALSE,8/14/2023 0:00,120867552,32.834698,-116.99428,TIME_ON_INFO,1 day ago,FALSE,16887137,8727 Granite House Ln,92071,Santee,CA,32.834698,-116.99428,3950,3,4,2200,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,873100,4495,FALSE,FALSE,FOR_RENT,3950,TRUE,FALSE,FALSE,USD,USA,276404,FALSE,,,,,,,,,,,,,,,,,,,
15,17050494,"$4,600/mo",$4.6K,4,2,2081,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/e0e31602ccb4240a96c0470e49dfeede-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/1181-Carnelian-St-El-Cajon-CA-92021/17050494_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"1181 Carnelian St, El Cajon, CA 92021",FALSE,FALSE,FALSE,9/1/2023 0:00,122808057,32.81156,-116.924995,TIME_ON_INFO,1 day ago,FALSE,17050494,1181 Carnelian St,92021,El Cajon,CA,32.81156,-116.924995,4600,2,4,2081,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,822800,4294,FALSE,FALSE,FOR_RENT,4600,TRUE,FALSE,FALSE,USD,USA,289977,FALSE,,,,,,,,,,,,,,,,,,,
16,16997897,"$6,900/mo",$6.9K,4,2,1500,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/4f2d97c00d2bf2f13e84ac1cf5a7d825-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/6645-Amherst-St-San-Diego-CA-92115/16997897_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"6645 Amherst St, San Diego, CA 92115",FALSE,TRUE,FALSE,,141459275,32.766644,-117.05588,TIME_ON_INFO,1 day ago,FALSE,16997897,6645 Amherst St,92115,San Diego,CA,32.766644,-117.05588,6900,2,4,1500,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,948000,4275,FALSE,FALSE,FOR_RENT,6900,TRUE,FALSE,FALSE,USD,USA,559045,FALSE,,,,,,,,,,,,,,,,,,,
17,16884921,"$5,000/mo",$5.0K,4,3,1868,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/25760ba5f7e21d2d4cdeefd158436cc6-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/362-River-Trail-Pl-Santee-CA-92071/16884921_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"362 River Trail Pl, Santee, CA 92071",FALSE,FALSE,FALSE,8/1/2023 0:00,173610466,32.8473,-116.99098,TIME_ON_INFO,2 days ago,FALSE,16884921,362 River Trail Pl,92071,Santee,CA,32.8473,-116.99098,5000,3,4,1868,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,949700,4300,FALSE,FALSE,FOR_RENT,5000,TRUE,FALSE,FALSE,USD,USA,396343,FALSE,,,,,,,,,,,,,1.68932E+12,-170,,$170 (Jul 14),,,
18,17180188,"$4,000/mo",$4.0K,4,2.5,2294,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/a1cb80404312ffd691020bc813d16a54-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/893-Mesa-Pl-Chula-Vista-CA-91910/17180188_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"893 Mesa Pl, Chula Vista, CA 91910",FALSE,TRUE,FALSE,7/29/2023 0:00,192371611,32.63329,-117.02871,TIME_ON_INFO,2 days ago,FALSE,17180188,893 Mesa Pl,91910,Chula Vista,CA,32.63329,-117.02871,4000,2.5,4,2294,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,970600,4300,FALSE,FALSE,FOR_RENT,4000,TRUE,FALSE,FALSE,USD,USA,504776,FALSE,,,,,,,,,,,,,,,,,,,
19,16996585,"$4,500/mo",$4.5K,4,2,1550,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/23779d6640561114d2e65e8b14e5bac7-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/5141-La-Dorna-St-San-Diego-CA-92115/16996585_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"5141 La Dorna St, San Diego, CA 92115",FALSE,FALSE,FALSE,8/7/2023 0:00,216310242,32.771664,-117.058685,TIME_ON_INFO,2 days ago,FALSE,16996585,5141 La Dorna St,92115,San Diego,CA,32.771664,-117.058685,4500,2,4,1550,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,870200,3994,FALSE,FALSE,FOR_RENT,4500,TRUE,FALSE,FALSE,USD,USA,436723,FALSE,,,,,,,,,,,,,,,,,,,
20,17106021,"$4,995/mo",$5.0K,4,3,2710,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/c9562fb4c3e16bc1c75112a3cdca92b9-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/3271-Holly-Way-Chula-Vista-CA-91910/17106021_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"3271 Holly Way, Chula Vista, CA 91910",FALSE,FALSE,FALSE,8/4/2023 0:00,218731563,32.646366,-117.05196,TIME_ON_INFO,2 days ago,FALSE,17106021,3271 Holly Way,91910,Chula Vista,CA,32.646366,-117.05196,4995,3,4,2710,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,1161500,4700,FALSE,FALSE,FOR_RENT,4995,TRUE,FALSE,FALSE,USD,USA,549000,FALSE,,,,,,,,,,,,,,,,,,,
21,2069241411,"$7,995/mo",$8.0K,4,3,3213,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/e2161b90a16c96fb615bc622072e2d9f-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/3799-Vista-Poin-Bonita-CA-91902/2069241411_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"3799 Vista Poin, Bonita, CA 91902",FALSE,FALSE,FALSE,7/29/2023 0:00,220568662,32.658943,-117.0522,TIME_ON_INFO,2 days ago,FALSE,2069241411,3799 Vista Poin,91902,Bonita,CA,32.658943,-117.0522,7995,3,4,3213,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,1336500,5999,FALSE,FALSE,FOR_RENT,7995,TRUE,FALSE,FALSE,USD,USA,,FALSE,,,,,,,,,,,,,,,,,,,
22,116084715,"$5,700/mo",$5.7K,4,3,2498,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/2e59c51f85c03c4e9e35ed8b6077b968-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/6730-Indio-Way-San-Diego-CA-92126/116084715_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"6730 Indio Way, San Diego, CA 92126",FALSE,TRUE,FALSE,8/1/2023 0:00,231787563,32.916794,-117.17691,TIME_ON_INFO,2 days ago,FALSE,116084715,6730 Indio Way,92126,San Diego,CA,32.916794,-117.17691,5700,3,4,2498,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,1506600,5688,FALSE,FALSE,FOR_RENT,5700,TRUE,FALSE,FALSE,USD,USA,1051177,FALSE,,,,,,,,,,,,,,,,,,,
23,59310680,"$4,950/mo",$5.0K,4,2.5,2538,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/8664ccbc6cac65d508a5cdfd2bcef758-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/1529-Burwell-Ln-El-Cajon-CA-92019/59310680_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"1529 Burwell Ln, El Cajon, CA 92019",FALSE,FALSE,FALSE,7/29/2023 0:00,235611998,32.76604,-116.92398,TIME_ON_INFO,2 days ago,FALSE,59310680,1529 Burwell Ln,92019,El Cajon,CA,32.76604,-116.92398,4950,2.5,4,2538,SINGLE_FAMILY,FOR_RENT,-1,FALSE,FALSE,FALSE,1173700,5195,FALSE,FALSE,FOR_RENT,4950,TRUE,FALSE,FALSE,USD,USA,694648,FALSE,,,,,,,,,,,,,,,,,,,
24,17037717,"$5,500/mo",$5.5K,4,3.5,3073,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/7da2cc4a43a25b2e7eadbfe9004f2f79-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/1421-Fuerte-Heights-Ln-El-Cajon-CA-92019/17037717_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"1421 Fuerte Heights Ln, El Cajon, CA 92019",FALSE,TRUE,FALSE,7/26/2023 0:00,259481559,32.762375,-116.93075,TIME_ON_INFO,3 days ago,FALSE,17037717,1421 Fuerte Heights Ln,92019,El Cajon,CA,32.762375,-116.93075,5500,3.5,4,3073,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,1385400,5981,FALSE,FALSE,FOR_RENT,5500,TRUE,FALSE,FALSE,USD,USA,788756,FALSE,,,,,,,,,,,,,,,,,,,
25,16782758,"$4,500/mo",$4.5K,4,2.5,1765,FOR_RENT,House for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/6c575bfa6a4a94d9d137b0aaf42fa272-p_e.jpg,TRUE,FALSE,,FALSE,/homedetails/11009-Alonda-Ct-San-Diego-CA-92126/16782758_zpid/,ForRent,For Rent,FALSE,FALSE,FALSE,"11009 Alonda Ct, San Diego, CA 92126",FALSE,TRUE,FALSE,8/5/2023 0:00,259670262,32.921715,-117.161224,TIME_ON_INFO,3 days ago,FALSE,16782758,11009 Alonda Ct,92126,San Diego,CA,32.921715,-117.161224,4500,2.5,4,1765,SINGLE_FAMILY,FOR_RENT,-1,TRUE,FALSE,FALSE,1195600,4200,FALSE,FALSE,FOR_RENT,4500,TRUE,FALSE,FALSE,USD,USA,649193,FALSE,,,,,,,,,,,,,,,,,,,
26,2056235621,"$4,900/mo",$4.9K,4,2,1950,FOR_RENT,Apartment for rent,FALSE,FALSE,FALSE,https://photos.zillowstatic.com/fp/654a26134137090e61f218a4bd223fe0-p_e.jpg,TRUE,FALSE,,FALSE,/b/grape-%26-fir-san-diego-ca-BhQyJX/,ForRent,For Rent,FALSE,FALSE,FALSE,"3625-3639 Grape St #3637, San Diego, CA 92104",FALSE,TRUE,FALSE,9/2/2023 0:00,260210951,32.726334,-117.116486,TIME_ON_INFO,3 days ago,FALSE,2056235621,3625-3639 Grape St #3637,92104,San Diego,CA,32.726334,-117.116486,4900,2,4,1950,APARTMENT,FOR_RENT,-1,TRUE,FALSE,FALSE,,,FALSE,FALSE,FOR_RENT,4900,TRUE,FALSE,FALSE,USD,USA,,FALSE,,,,,,,,,,,,,,,# 3637,,,,
